verb,verb_ipa,past_tense,past_tense_ipa,past_tense_type
abuse,əˈbjuːz,abused,əˈbjuːzd,regular
accessorize,əkˈsɛsəraɪz,accessorized,əkˈsɛsəraɪzd,regular
acclimate,ˈækləmeɪt,acclimated,ˈækləmeɪtɪd,regular
adventure,ədˈvɛntʃər,adventured,ədˈvɛntʃərd,regular
age,eɪdʒ,aged,eɪdʒd,regular
ally,ˈælaɪ,allied,ˈælaɪd,regular
alternate,ˈɔːltərneɪt,alternated,ˈɔːltərneɪtɪd,regular
analyze,ˈænəlaɪz,analyzed,ˈænəlaɪzd,regular
animal,ˈænɪməl,animaled,ˈænɪməld,regular
articulate,ɑːrˈtɪkjʊleɪt,articulated,ɑːrˈtɪkjʊleɪtɪd,regular
aspirate,ˈæspəreɪt,aspirated,ˈæspəreɪtɪd,regular
associate,əˈsoʊʃieɪt,associated,əˈsoʊʃieɪtɪd,regular
baby,ˈbeɪbi,babied,ˈbeɪbid,regular
ball,bɔːl,balled,bɔːld,regular
barrel,ˈbærəl,barreled,ˈbærəld,regular
base,beɪs,based,beɪst,regular
bathe,beɪð,bathed,beɪðd,regular
bawk,bɔːk,bawked,bɔːkt,regular
be,biː,was/were,wʌz/wɜːr,irregular
beat,biːt,beat,biːt,irregular
beep,biːp,beeped,biːpt,regular
bench,bɛntʃ,benched,bɛntʃt,regular
berry,ˈbɛri,berried,ˈbɛrid,regular
best,bɛst,bested,bɛstɪd,regular
beware,bɪˈwɛər,bewared,bɪˈwɛərd,regular
bike,baɪk,biked,baɪkt,regular
blab,blæb,blabbed,blæbd,regular
blade,bleɪd,bladed,bleɪdɪd,regular
blank,blæŋk,blanked,blæŋkt,regular
bleep,bliːp,bleeped,bliːpt,regular
bless,blɛs,blessed,blɛst,regular
bobble,ˈbɒbəl,bobbled,ˈbɒbəld,regular
bog,bɒɡ,bogged,bɒɡd,regular
boink,bɔɪŋk,boinked,bɔɪŋkt,regular
boke,boʊk,boked,boʊkt,regular
bong,bɒŋ,bonged,bɒŋd,regular
bonk,bɒŋk,bonked,bɒŋkt,regular
boog,buːɡ,booged,buːɡd,regular
boogie,ˈbuːɡi,boogied,ˈbuːɡid,regular
boot,buːt,booted,buːtɪd,regular
bottom,ˈbɒtəm,bottomed,ˈbɒtəmd,regular
bow,boʊ,bowed,boʊd,regular
brick,brɪk,bricked,brɪkt,regular
broom,bruːm,broomed,bruːmd,regular
burn,bɜːrn,burned,bɜːrnd,irregular
burst,bɜːrst,burst,bɜːrst,irregular
carol,ˈkærəl,caroled,ˈkærəld,regular
cast,kæst,cast,kæst,irregular
catapult,ˈkætəpʌlt,catapulted,ˈkætəpʌltɪd,regular
cheep,tʃiːp,cheeped,tʃiːpt,regular
chicken,ˈtʃɪkɪn,chickened,ˈtʃɪkɪnd,regular
chin,tʃɪn,chinned,tʃɪnd,regular
chink,tʃɪŋk,chinked,tʃɪŋkt,regular
chitchat,ˈtʃɪttʃæt,chitchated,ˈtʃɪttʃætɪd,regular
chitter,ˈtʃɪtər,chittered,ˈtʃɪtərd,regular
chow,tʃaʊ,chowed,tʃaʊd,regular
chuff,tʃʌf,chuffed,tʃʌft,regular
chunter,ˈtʃʌntər,chuntered,ˈtʃʌntərd,regular
clad,klæd,cladded,klædɪd,regular
clomp,klɒmp,clomped,klɒmpt,regular
clonk,klɒŋk,clonked,klɒŋkt,regular
close,kloʊz,closed,kloʊzd,regular
clue,kluː,clued,kluːd,regular
clunk,klʌŋk,clunked,klʌŋkt,regular
collar,ˈkɒlər,collared,ˈkɒlərd,regular
collect,kəˈlɛkt,collected,kəˈlɛktɪd,regular
color,ˈkʌlər,colored,ˈkʌlərd,regular
comment,ˈkɒmɛnt,commented,ˈkɒmɛntɪd,regular
compliment,ˈkɒmplɪmɛnt,complimented,ˈkɒmplɪmɛntɪd,regular
compress,kəmˈprɛs,compressed,kəmˈprɛst,regular
conduct,kənˈdʌkt,conducted,kənˈdʌktɪd,regular
configure,kənˈfɪɡjər,configured,kənˈfɪɡjərd,regular
congest,kənˈdʒɛst,congested,kənˈdʒɛstɪd,regular
conk,kɒŋk,conkked,kɒŋkt,regular
console,kənˈsoʊl,consoled,kənˈsoʊld,regular
construct,kənˈstrʌkt,constructed,kənˈstrʌktɪd,regular
contact,ˈkɒntækt,contacted,ˈkɒntæktɪd,regular
content,kənˈtɛnt,contented,kənˈtɛntɪd,regular
contour,ˈkɒntʊər,contoured,ˈkɒntʊərd,regular
convert,kənˈvɜːrt,converted,kənˈvɜːrtɪd,regular
coop,kuːp,cooped,kuːpt,regular
coordinate,koʊˈɔːrdɪneɪt,coordinated,koʊˈɔːrdɪneɪtɪd,regular
core,kɔːr,cored,kɔːrd,regular
cork,kɔːrk,corked,kɔːrkt,regular
costume,ˈkɒstjuːm,costumed,ˈkɒstjuːmd,regular
cozy,ˈkoʊzi,cozied,ˈkoʊzid,regular
cracker,ˈkrækər,crackered,ˈkrækərd,regular
cramp,kræmp,cramped,kræmpt,regular
crock,krɒk,crocked,krɒkt,regular
cue,kjuː,cued,kjuːd,regular
cure,kjʊər,cured,kjʊərd,regular
cut,kʌt,cut,kʌt,irregular
depend,dɪˈpɛnd,depended,dɪˈpɛndɪd,regular
